[17:40:05] [info] [message] '参数组装开始'
[17:40:06] [info] [message] '参数组装结束'
[17:40:06] [info] [message] 'begin--{{{控制器-初始化控制器开始:文件路径:[D:\\starcordemo\\CodeIgniter\\app_model\\controllers/backstage/con_admin/c_admin.php];界面框架:[backstage];界面模板:[con_admin];类名称:[c_admin];方法:[index]}}}--begin'
[17:40:06] [info] [message] 'begin---{{{公共-数据库公共操作类开始;加载文件:[D:\\starcordemo\\CodeIgniter\\app_model\\libraries\\em_logic.class.php]}}}---begin'
[17:40:06] [notice] [sql] '行号:[51]:数据内库排除非法参数的时候输入数据为非数组参数为:NULL'
[17:40:06] [info] [message] 'begin---{{{公共-数据库公共操作类结束}}}---begin'
[17:40:06] [info] [message] 'begin---{{{公共-数据库公共操作类开始;加载文件:[D:\\starcordemo\\CodeIgniter\\app_model\\libraries\\em_logic.class.php]}}}---begin'
[17:40:06] [notice] [sql] '行号:[51]:数据内库排除非法参数的时候输入数据为非数组参数为:NULL'
[17:40:06] [info] [message] 'begin---{{{公共-数据库公共操作类结束}}}---begin'
[17:40:06] [info] [message] 'end---{{{控制器-接口控制器请求结束template_view界面展示正确模板}}}---end'
[17:40:06] [info] [message] 'begin---{{{公共-数据库公共操作类开始;加载文件:[D:\\starcordemo\\CodeIgniter\\app_model\\libraries\\em_logic.class.php]}}}---begin'
[17:40:06] [info] [sql] '行号:[115]:数据库基本表:[em_global_error]字段验证开始'
[17:40:06] [info] [sql] '行号:[219]:数据库基本表:[em_global_error]字段验证结束'
[17:40:06] [info] [message] 'begin---{{{公共-数据库公共操作类结束}}}---begin'
[17:42:10] [info] [message] '参数组装开始'
[17:42:10] [info] [message] '参数组装结束'
[17:42:10] [info] [message] 'begin--{{{控制器-初始化控制器开始:文件路径:[D:\\starcordemo\\CodeIgniter\\app_model\\controllers/backstage/con_admin/c_admin.php];界面框架:[backstage];界面模板:[con_admin];类名称:[c_admin];方法:[index]}}}--begin'
[17:42:10] [info] [message] 'begin---{{{公共-数据库公共操作类开始;加载文件:[D:\\starcordemo\\CodeIgniter\\app_model\\libraries\\em_logic.class.php]}}}---begin'
[17:42:10] [notice] [sql] '行号:[51]:数据内库排除非法参数的时候输入数据为非数组参数为:NULL'
[17:42:10] [info] [message] 'begin---{{{公共-数据库公共操作类结束}}}---begin'
[17:42:10] [info] [message] 'begin---{{{公共-数据库公共操作类开始;加载文件:[D:\\starcordemo\\CodeIgniter\\app_model\\libraries\\em_logic.class.php]}}}---begin'
[17:42:10] [notice] [sql] '行号:[51]:数据内库排除非法参数的时候输入数据为非数组参数为:NULL'
[17:42:10] [info] [message] 'begin---{{{公共-数据库公共操作类结束}}}---begin'
[17:42:10] [info] [message] 'end---{{{控制器-接口控制器请求结束template_view界面展示正确模板}}}---end'
[17:42:10] [info] [message] 'begin---{{{公共-数据库公共操作类开始;加载文件:[D:\\starcordemo\\CodeIgniter\\app_model\\libraries\\em_logic.class.php]}}}---begin'
[17:42:10] [info] [sql] '行号:[115]:数据库基本表:[em_global_error]字段验证开始'
