[18:00:23] [info] [message] '参数组装开始'
[18:00:24] [info] [message] '参数组装结束'
[18:00:24] [info] [message] 'begin--{{{控制器-初始化控制器开始:文件路径:[D:\\starcordemo\\CodeIgniter\\app_model\\controllers/backstage/con_admin/c_web_model.php];界面框架:[backstage];界面模板:[con_admin];类名称:[c_web_model];方法:[web_list]}}}--begin'
[18:00:24] [info] [message] 'end---{{{控制器-接口控制器请求结束template_view界面展示正确模板}}}---end'
[18:00:35] [info] [message] '参数组装开始'
[18:00:35] [info] [message] '参数组装结束'
[18:00:35] [info] [message] 'begin--{{{控制器-初始化控制器开始:文件路径:[D:\\starcordemo\\CodeIgniter\\app_model\\controllers/backstage/con_admin/c_web_model.php];界面框架:[backstage];界面模板:[con_admin];类名称:[c_web_model];方法:[web_list]}}}--begin'
[18:00:35] [info] [message] 'end---{{{控制器-接口控制器请求结束template_view界面展示正确模板}}}---end'
[18:00:38] [info] [message] '参数组装开始'
[18:00:38] [info] [message] '参数组装结束'
[18:00:38] [info] [message] 'begin--{{{控制器-初始化控制器开始:文件路径:[D:\\starcordemo\\CodeIgniter\\app_model\\controllers/backstage/con_admin/c_web_model.php];界面框架:[backstage];界面模板:[con_admin];类名称:[c_web_model];方法:[web_list]}}}--begin'
[18:00:38] [info] [message] 'end---{{{控制器-接口控制器请求结束template_view界面展示正确模板}}}---end'
